"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","272","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testValidLogin","CT001 - Login com credenciais válidas deve retornar token JWT","Testa o processo completo de login: criar usuário → fazer login → validar token recebido"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","87","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testLoginWithEmptyFields","CT004 - Login com campos vazios deve retornar erro de validação","Verifica se a API valida campos obrigatórios (email e senha) no processo de login"
"passed","Tue Jan 06 03:41:08 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","117","API Test Suite","All Tests","br.com.desafioapi.tests.UserCrudTest","br.com.desafioapi.tests.UserCrudTest","testGetUserById","CT003 - Busca de usuário específico por ID","Verifica se é possível localizar e retornar os dados completos de um usuário específico utilizando seu ID único como parâmetro de busca"
"passed","Tue Jan 06 03:41:08 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","91","API Test Suite","All Tests","br.com.desafioapi.tests.UserCrudTest","br.com.desafioapi.tests.UserCrudTest","testCreateUser","CT002 - Criação de novo usuário com dados válidos","Verifica se é possível criar um novo usuário fornecendo dados válidos (nome, email, password, administrador) e se a API retorna o ID do usuário criado"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","224","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testDeleteUserWithoutAuthentication","CT007 - Rejeição de exclusão sem autenticação","Verifica se a API impede tentativas de excluir usuário sem fornecer token de administrador válido, protegendo contra exclusões não autorizadas"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","119","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testDeleteNonExistentUser","testDeleteNonExistentUser","Verificar se a API retorna erro ao tentar excluir usuário inexistente"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","76","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testLoginWithInvalidEmailFormat","CT005 - Login com formato de email inválido deve retornar erro","Verifica se a API valida o formato do email (deve conter @ e domínio válido)"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","75","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testInvalidToken","testInvalidToken","Verificar se a API rejeita token inválido"
"passed","Tue Jan 06 03:41:08 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","175","API Test Suite","All Tests","br.com.desafioapi.tests.UserCrudTest","br.com.desafioapi.tests.UserCrudTest","testUpdateUser","CT004 - Atualização de dados de usuário existente","Verifica se é possível modificar os dados de um usuário já cadastrado, alterando nome, email, senha e status de administrador através de requisição PUT"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","269","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testLoginWithWrongPassword","CT003 - Login com senha incorreta deve retornar erro 401","Verifica se a API rejeita login quando email existe mas senha está incorreta"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","99","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testLoginWithNonExistentEmail","CT002 - Login com email inexistente deve retornar erro 401","Verifica se a API rejeita tentativas de login com email que não existe na base"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","81","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testCreateUserWithEmptyFields","CT002 - Rejeição de usuário com campos obrigatórios vazios","Verifica se a API rejeita tentativas de criar usuário com campos obrigatórios (nome, email, senha) em branco ou nulos, retornando erro de validação"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","242","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testCreateUserWithDuplicateEmail","CT003 - Rejeição de email duplicado no sistema","Verifica se a API impede a criação de usuário com email já existente no sistema, mantendo a integridade dos dados e unicidade dos emails"
"passed","Tue Jan 06 03:41:08 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","267","API Test Suite","All Tests","br.com.desafioapi.tests.UserCrudTest","br.com.desafioapi.tests.UserCrudTest","testCreateAdminUser","CT006 - Criação de usuário com privilégios administrativos","Verifica se é possível criar um usuário com flag de administrador ativa, garantindo que tenha as permissões necessárias para gerenciar outros usuários no sistema"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","161","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testMalformedToken","CT008 - Token com formato inválido deve ser rejeitado","Verifica se a API rejeita tokens que não seguem o padrão JWT (header.payload.signature)"
"passed","Tue Jan 06 03:41:08 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","106","API Test Suite","All Tests","br.com.desafioapi.tests.UserCrudTest","br.com.desafioapi.tests.UserCrudTest","testListAllUsers","CT001 - Listagem de todos os usuários cadastrados","Verifica se a API consegue retornar a lista completa de usuários cadastrados no sistema com informações de quantidade e dados dos usuários"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:07 UTC 2026","164","API Test Suite","All Tests","br.com.desafioapi.tests.AuthenticationTest","br.com.desafioapi.tests.AuthenticationTest","testExpiredToken","CT007 - Token expirado deve ser rejeitado pela API","Verifica o comportamento da API quando token JWT está expirado ou tem data inválida"
"passed","Tue Jan 06 03:41:07 UTC 2026","Tue Jan 06 03:41:08 UTC 2026","246","API Test Suite","All Tests","br.com.desafioapi.tests.UserNegativeTest","br.com.desafioapi.tests.UserNegativeTest","testUpdateUserWithoutAuthentication","CT006 - Rejeição de atualização sem autenticação","Verifica se a API impede tentativas de atualizar dados de usuário sem fornecer token de autenticação válido, garantindo a segurança das operações"
